,Year,Region,Arrivals_x,Business,Leisure,Medical,Diaspora,Others,Arrivals_y,Mode,Percentage
116,2020,Africa,3819.0,17.0,6.9,53.1,7.5,15.5,2744766,Land,19.3
117,2020,Africa,12561.0,18.8,65.9,0.6,6.6,8.1,2744766,Air,79.2
118,2020,Africa,12561.0,18.8,65.9,0.6,6.6,8.1,2744766,Sea,1.5
119,2020,Africa,12561.0,18.8,65.9,0.6,6.6,8.1,2744766,Land,19.3
120,2020,Africa,9114.0,56.2,3.5,30.3,1.8,8.2,2744766,Air,79.2
121,2020,Africa,9114.0,56.2,3.5,30.3,1.8,8.2,2744766,Sea,1.5
122,2020,Africa,9114.0,56.2,3.5,30.3,1.8,8.2,2744766,Land,19.3
123,2020,Africa,6501.0,15.4,24.6,25.2,9.9,24.9,2744766,Air,79.2
124,2020,Africa,6501.0,15.4,24.6,25.2,9.9,24.9,2744766,Sea,1.5
125,2020,Africa,6501.0,15.4,24.6,25.2,9.9,24.9,2744766,Land,19.3
126,2020,Africa,29226.0,19.2,25.8,26.9,9.1,19.1,2744766,Air,79.2
127,2020,Africa,29226.0,19.2,25.8,26.9,9.1,19.1,2744766,Sea,1.5
128,2020,Africa,29226.0,19.2,25.8,26.9,9.1,19.1,2744766,Land,19.3
129,2020,Africa,90296.0,20.9,35.2,19.5,8.6,15.9,2744766,Air,79.2
130,2020,Africa,90296.0,20.9,35.2,19.5,8.6,15.9,2744766,Sea,1.5
131,2020,Africa,90296.0,20.9,35.2,19.5,8.6,15.9,2744766,Land,19.3
132,2020,West Asia,3429.0,5.8,51.8,11.1,19.2,12.2,2744766,Air,79.2
133,2020,West Asia,3429.0,5.8,51.8,11.1,19.2,12.2,2744766,Sea,1.5
134,2020,West Asia,3429.0,5.8,51.8,11.1,19.2,12.2,2744766,Land,19.3
135,2020,West Asia,17823.0,0.9,2.8,93.4,0.9,1.9,2744766,Air,79.2
136,2020,West Asia,17823.0,0.9,2.8,93.4,0.9,1.9,2744766,Sea,1.5
137,2020,West Asia,17823.0,0.9,2.8,93.4,0.9,1.9,2744766,Land,19.3
138,2020,West Asia,17444.0,20.4,76.0,0.1,1.3,2.2,2744766,Air,79.2
139,2020,West Asia,17444.0,20.4,76.0,0.1,1.3,2.2,2744766,Sea,1.5
140,2020,West Asia,17444.0,20.4,76.0,0.1,1.3,2.2,2744766,Land,19.3
141,2020,West Asia,15430.0,1.5,66.3,28.0,1.9,2.1,2744766,Air,79.2
142,2020,West Asia,15430.0,1.5,66.3,28.0,1.9,2.1,2744766,Sea,1.5
143,2020,West Asia,15430.0,1.5,66.3,28.0,1.9,2.1,2744766,Land,19.3
144,2020,West Asia,10423.0,7.3,81.5,5.3,1.9,3.9,2744766,Air,79.2
145,2020,West Asia,10423.0,7.3,81.5,5.3,1.9,3.9,2744766,Sea,1.5
146,2020,West Asia,10423.0,7.3,81.5,5.3,1.9,3.9,2744766,Land,19.3
147,2020,West Asia,10853.0,50.2,45.0,1.0,0.7,3.1,2744766,Air,79.2
148,2020,West Asia,10853.0,50.2,45.0,1.0,0.7,3.1,2744766,Sea,1.5
149,2020,West Asia,10853.0,50.2,45.0,1.0,0.7,3.1,2744766,Land,19.3
150,2020,West Asia,7387.0,2.5,88.3,2.8,3.1,3.4,2744766,Air,79.2
151,2020,West Asia,7387.0,2.5,88.3,2.8,3.1,3.4,2744766,Sea,1.5
152,2020,West Asia,7387.0,2.5,88.3,2.8,3.1,3.4,2744766,Land,19.3
153,2020,West Asia,5882.0,6.0,9.9,69.9,4.2,10.1,2744766,Air,79.2
